EF999921.1,100.000,15888,1,15888,171116,155229,29340,0.0,EF999921.1 Human herpesvirus 5 strain TB40/E clone TB40-BAC4, complete sequence
JX512204.1,100.000,15888,1,15888,138487,122600,29340,0.0,JX512204.1 Human herpesvirus 5 strain HAN16, complete genome
MT070140.1,100.000,15888,1,15888,138846,122959,29340,0.0,MT070140.1 UNVERIFIED: Human betaherpesvirus 5 isolate P10, complete genome
KF297339.1,100.000,15888,1,15888,139075,123188,29340,0.0,KF297339.1 Human herpesvirus 5 strain TB40/E clone Lisa, complete genome
MT044484.1,99.987,15888,1,15888,138427,122540,29329,0.0,MT044484.1 Human betaherpesvirus 5 strain HAN-SOT4, complete genome
KX544839.1,99.962,15888,1,15888,171071,155187,29303,0.0,KX544839.1 Human herpesvirus 5 isolate TB40-E_UNC, complete genome
MT044481.1,99.899,15888,1,15888,138675,122788,29252,0.0,MT044481.1 Human betaherpesvirus 5 strain GLA-SOT2, complete genome
KP745712.1,99.654,15888,1,15888,138401,122517,29032,0.0,KP745712.1 Human herpesvirus 5 strain BE/19/2010, complete genome
KR534196.1,99.591,15888,1,15888,138406,122519,28980,0.0,KR534196.1 Human herpesvirus 5 strain JER847, complete genome
KP745652.1,99.585,15888,1,15888,138725,122841,28971,0.0,KP745652.1 Human herpesvirus 5 strain BE/2/2011, complete genome
KY123650.1,99.578,15888,1,15888,138684,122797,28969,0.0,KY123650.1 Human herpesvirus 5 strain HANRTR2, complete genome
KX544840.1,99.578,15888,1,15888,168146,152262,28965,0.0,KX544840.1 Human herpesvirus 5 isolate UXCA_Merck_UNC, complete genome
KR534201.1,99.560,15900,1,15888,138304,122405,28963,0.0,KR534201.1 Human herpesvirus 5 strain JER2002, complete genome
KY490073.1,99.559,15888,1,15888,138177,122290,28952,0.0,KY490073.1 Human betaherpesvirus 5 strain HANRTR1A, complete genome
KY490074.1,99.559,15888,1,15888,138641,122754,28952,0.0,KY490074.1 Human betaherpesvirus 5 strain HANRTR1B, complete genome
KY490084.1,99.547,15888,1,15888,138216,122329,28941,0.0,KY490084.1 Human betaherpesvirus 5 strain HANSCTR10, complete genome
KJ361961.1,99.516,15900,1,15888,138534,122635,28925,0.0,KJ361961.1 Human herpesvirus 5 strain PAV5, complete genome
KP745654.1,99.509,15900,1,15888,138291,122395,28915,0.0,KP745654.1 Human herpesvirus 5 strain BE/19/2011, complete genome
KP745657.1,99.509,15900,1,15888,138640,122744,28915,0.0,KP745657.1 Human herpesvirus 5 strain BE/13/2011, complete genome
KP745710.1,99.503,15900,1,15888,138780,122881,28914,0.0,KP745710.1 Human herpesvirus 5 strain BE/2/2012, complete genome
KJ361965.1,99.515,15888,1,15888,138714,122827,28914,0.0,KJ361965.1 Human herpesvirus 5 strain PAV11, complete genome
JX512201.1,99.497,15900,1,15888,138598,122699,28908,0.0,JX512201.1 Human herpesvirus 5 strain HAN3, complete genome
GQ396663.1,99.497,15900,1,15888,138482,122585,28906,0.0,GQ396663.1 Human herpesvirus 5 strain HAN20, complete genome
KJ361956.1,99.497,15900,1,15888,137994,122098,28904,0.0,KJ361956.1 Human herpesvirus 5 strain HAN36, complete genome
KP745718.1,99.497,15900,1,15888,138329,122436,28903,0.0,KP745718.1 Human herpesvirus 5 strain CZ/1/2011, complete genome
KP745684.1,99.497,15900,1,15888,138061,122168,28903,0.0,KP745684.1 Human herpesvirus 5 strain BE/11/2011, complete genome
KP745714.1,99.497,15900,1,15888,138476,122583,28903,0.0,KP745714.1 Human herpesvirus 5 strain BE/29/2010, complete genome
JX512199.1,99.497,15900,1,15888,138384,122491,28903,0.0,JX512199.1 Human herpesvirus 5 strain HAN1, complete genome
KP745664.1,99.497,15900,1,15888,138081,122188,28903,0.0,KP745664.1 Human herpesvirus 5 strain CZ/2/2013, complete genome
GQ466044.1,99.503,15888,1,15888,138785,122901,28899,0.0,GQ466044.1 Human herpesvirus 5 strain 3301, complete genome
MT044483.1,99.491,15900,1,15888,137925,122032,28897,0.0,MT044483.1 Human betaherpesvirus 5 strain HAN-SOT3, partial genome
KJ361964.1,99.484,15900,1,15888,138731,122832,28897,0.0,KJ361964.1 Human herpesvirus 5 strain PAV8, complete genome
